Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Omar Narvaez*,26,97,322,280,30,77,14,1,9,30,0,2,38,65,0.275,0.366,0.429,0.794,120,120,5,2,2,0,1
2,1B,Jose Abreu,31,128,553,499,68,132,36,1,22,78,2,0,37,109,0.265,0.325,0.473,0.798,118,236,14,11,0,6,7
3,2B,Yoan Moncada#,23,149,650,578,73,136,32,6,17,61,12,6,67,217,0.235,0.315,0.4,0.714,97,231,4,1,2,2,1
4,SS,Tim Anderson,25,153,606,567,77,136,28,3,20,64,26,8,30,149,0.24,0.281,0.406,0.687,88,230,15,4,2,3,2
5,3B,Carlos Sanchez#,26,155,662,600,62,145,34,10,8,55,14,6,49,138,0.242,0.306,0.372,0.678,88,223,9,8,2,3,0
6,LF,Nicky Delmonico*,25,88,318,284,31,61,11,5,8,25,1,2,27,80,0.215,0.296,0.373,0.669,85,106,7,6,0,1,1
7,CF,Adam Engel,26,143,463,429,49,101,17,4,6,29,16,8,18,129,0.235,0.279,0.336,0.614,70,144,1,8,7,1,0
8,RF,Avisail Garcia,27,93,385,356,47,84,11,2,19,49,3,1,20,102,0.236,0.281,0.438,0.719,96,156,9,4,0,5,2
9,DH,Matt Davidson,27,123,496,434,51,99,23,0,20,62,0,0,52,165,0.228,0.319,0.419,0.738,103,182,8,7,0,3,0
10,UT,Daniel Palka*,26,124,449,417,56,100,15,3,27,67,2,1,30,153,0.24,0.294,0.484,0.778,111,202,7,2,0,0,3
11,OF,Leury Garcia#,27,82,275,258,23,70,7,4,4,32,12,1,9,69,0.271,0.303,0.376,0.679,88,97,2,3,4,1,0
12,C,Kevan Smith,30,52,187,171,21,50,6,0,3,21,1,0,10,18,0.292,0.348,0.38,0.728,103,65,5,5,0,1,0
13,C,Welington Castillo,31,49,181,170,17,44,7,0,6,15,1,0,9,46,0.259,0.304,0.406,0.71,95,69,7,2,0,0,0
14,RF,Trayce Thompson,27,48,130,121,14,14,3,0,3,9,3,1,7,46,0.116,0.163,0.215,0.378,4,26,0,0,1,1,1
15,LF,Charlie Tilson*,25,41,121,106,7,28,1,1,0,11,2,3,10,20,0.264,0.331,0.292,0.623,76,31,2,1,2,1,0
16,UT,Jose Rondon,24,42,107,100,15,23,6,0,6,14,2,1,7,30,0.23,0.28,0.47,0.75,103,47,3,0,0,0,0
17,LF,Ryan LaMarre,29,33,71,66,8,20,6,0,2,10,1,1,2,20,0.303,0.324,0.485,0.809,121,32,0,1,0,2,0
18,OF,Ryan Cordell,26,19,40,37,3,4,1,0,1,4,0,0,0,15,0.108,0.125,0.216,0.341,-8,8,0,1,0,2,0
19,UT,Matt Skole*,28,4,13,11,2,3,0,0,1,1,0,0,2,3,0.273,0.385,0.545,0.93,155,6,0,0,0,0,0
20,C,Alfredo Gonzalez,25,3,9,9,0,1,0,0,0,1,0,0,0,4,0.111,0.111,0.111,0.222,-38,1,0,0,0,0,0
21,UT,Tyler Saladino,28,6,9,8,2,2,1,0,0,0,0,0,0,3,0.25,0.25,0.375,0.625,71,3,0,0,1,0,0
22,C,Dustin Garneau,30,1,3,2,0,1,0,0,0,1,0,0,1,0,0.5,0.667,0.5,1.167,233,1,0,0,0,0,0
23,P,James Shields,36,3,7,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-7,1,0,0,1,0,0
24,P,Lucas Giolito,23,3,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
25,P,Hector Santiago,30,5,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,1,0,0,0,0
26,P,Dylan Covey,26,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
27,P,Chris Beck,27,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
28,P,Luis Avilan*,28,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
29,P,Reynaldo Lopez,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
30,P,Gregory Infante,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
31,P,Jeanmar Gomez,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Ian Hamilton,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Joakim Soria,34,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Ryan Burr,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Xavier Cedeno*,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Bruce Rondon,27,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Caleb Frare*,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Carlos Rodon*,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Aaron Bummer*,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Carson Fulmer,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Rob Scahill*,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Chris Volstad,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Jose Ruiz,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Thyago Vieira,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Miguel Gonzalez,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Nate Jones,32,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Michael Kopech,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Juan Minaya,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Danny Farquhar,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Jace Fry*,24,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Tyler Danish,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
